,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"Image_Classification,CWE,25_124","(0.0, 0.0)","(0.4303571477532387, 0.9910714328289032)","(0.5374999970197678, 0.9892857193946838)","(0.4803571432828903, 0.9875000059604645)","(0.49821428805589674, 0.9892857193946838)","(0.4696428567171097, 0.9875000059604645)","(0.46964286640286446, 0.8535714387893677)","(0.4321428596973419, 0.7607142895460128)","(0.5339285738766193, 0.575)","(0.5125, 0.5089285790920257)","(0.5142857283353806, 0.5392857074737549)","(0.5624999940395355, 0.4892857164144516)",,,0.000 ,0.000 ,0.430 ,0.991 ,0.537 ,0.989 ,0.480 ,0.988 ,0.498 ,0.989 ,0.470 ,0.988 ,0.470 ,0.854 ,0.432 ,0.761 ,0.534 ,#VALUE!,0.513 ,0.509 ,0.514 ,0.539 ,0.562 ,0.489 
"Image_Classification,CWE,25_126","(0.0, 0.0)","(0.480481293797493, 0.9909982204437255)","(0.40989305824041367, 0.8365418881177902)","(0.35713013634085655, 0.839037436246872)","(0.4759358376264572, 0.7491978585720063)","(0.4712121281772852, 0.7292335122823715)","(0.5500000029802322, 0.6700534820556641)","(0.4790552705526352, 0.5725490272045135)","(0.5059714883565902, 0.5154189050197602)","(0.5168449312448502, 0.5178253173828125)","(0.5127451024949551, 0.6240641713142395)","(0.45490196719765663, 0.5461675643920898)",,,0.000 ,0.000 ,0.480 ,0.991 ,0.410 ,0.837 ,0.357 ,0.839 ,0.476 ,0.749 ,0.471 ,0.729 ,0.550 ,0.670 ,0.479 ,0.573 ,0.506 ,0.515 ,0.517 ,0.518 ,0.513 ,0.624 ,0.455 ,0.546 
"Image_Classification,CWE,25_127","(0.0, 0.0)","(0.5017857104539871, 0.9910714328289032)","(0.5428571373224258, 0.9821428656578064)","(0.47142857164144514, 0.980357152223587)","(0.49464286416769027, 0.9410714387893677)","(0.46785715222358704, 0.9357142984867096)","(0.6124999970197678, 0.8339285850524902)","(0.5678571462631226, 0.7375000089406967)","(0.46428572237491605, 0.521428570151329)","(0.44285713881254196, 0.5767857104539871)","(0.4678571462631226, 0.5892857193946839)","(0.45357142984867094, 0.483928582072258)",,,0.000 ,0.000 ,0.502 ,0.991 ,0.543 ,0.982 ,0.471 ,0.980 ,0.495 ,0.941 ,0.468 ,0.936 ,0.612 ,0.834 ,0.568 ,0.738 ,0.464 ,0.521 ,0.443 ,0.577 ,0.468 ,0.589 ,0.454 ,0.484 
"Image_Classification,CWE,25_134","(0.0, 0.0)","(0.5216216206550598, 0.8837837815284729)","(0.5324324280023575, 0.7324324369430542)","(0.4648648679256439, 0.7405405402183532)","(0.48108108192682264, 0.6189189165830612)","(0.5243243306875229, 0.6594594538211822)","(0.5270270317792892, 0.6135135173797608)","(0.47027027010917666, 0.6378378391265869)","(0.5162162184715271, 0.5135135114192962)","(0.5216216146945953, 0.5540540516376495)","(0.5243243247270584, 0.5216216236352921)","(0.5486486405134201, 0.5486486434936524)",,,0.000 ,0.000 ,0.522 ,0.884 ,0.532 ,0.732 ,0.465 ,0.741 ,0.481 ,0.619 ,0.524 ,0.659 ,0.527 ,0.614 ,0.470 ,0.638 ,0.516 ,0.514 ,0.522 ,0.554 ,0.524 ,0.522 ,0.549 ,0.549 
"Image_Classification,CWE,25_190","(0.0, 0.0)","(0.3600000113248825, 0.6933333426713943)","(0.47333334386348724, 0.853333342075348)","(0.4866666838526726, 0.6733333438634872)","(0.460000017285347, 0.8200000047683715)","(0.5666666805744172, 0.4533333510160446)","(0.4466666832566261, 0.44666667878627775)","(0.4600000143051147, 0.5200000107288361)","(0.4066666767001152, 0.4866666793823242)","(0.5400000110268592, 0.5533333480358124)","(0.4800000175833702, 0.5200000122189522)","(0.4266666807234287, 0.5333333492279053)",,,0.000 ,0.000 ,0.360 ,0.693 ,0.473 ,0.853 ,0.487 ,0.673 ,0.460 ,0.820 ,0.567 ,0.453 ,0.447 ,0.447 ,0.460 ,0.520 ,0.407 ,0.487 ,0.540 ,0.553 ,0.480 ,0.520 ,0.427 ,0.533 
"Image_Classification,CWE,25_476","(0.0, 0.0)","(0.4300000071525574, 0.6155555605888366)","(0.5144444540143013, 0.5133333414793014)","(0.5011111184954643, 0.5400000065565109)","(0.5666666686534881, 0.5100000083446503)","(0.49777778387069704, 0.47333334386348724)","(0.45444445312023163, 0.5244444563984871)","(0.5011111170053482, 0.47555555775761604)","(0.474444455653429, 0.6588888943195343)","(0.5833333462476731, 0.6400000050663948)","(0.5344444543123246, 0.5744444563984871)","(0.5633333399891853, 0.5177777782082558)",,,0.000 ,0.000 ,0.430 ,0.616 ,0.514 ,0.513 ,0.501 ,0.540 ,0.567 ,0.510 ,0.498 ,0.473 ,0.454 ,0.524 ,0.501 ,0.476 ,0.474 ,0.659 ,0.583 ,0.640 ,0.534 ,0.574 ,0.563 ,0.518 
"Image_Classification,CWE,25_479","(0.0, 0.0)","(0.41666666865348817, 0.5333333373069763)","(0.6500000029802322, 0.4916666686534882)","(0.6250000029802323, 0.5333333373069763)","(0.3583333373069763, 0.6000000029802323)","(0.5666666686534881, 0.4083333373069763)","(0.7750000029802322, 0.5583333373069763)","(0.6000000029802323, 0.5500000029802322)","(0.4416666716337204, 0.5916666716337204)","(0.4166666716337204, 0.5166666716337204)","(0.5083333373069763, 0.4833333343267441)","(0.4916666686534882, 0.5666666686534881)",,,0.000 ,0.000 ,0.417 ,0.533 ,0.650 ,0.492 ,0.625 ,0.533 ,0.358 ,0.600 ,0.567 ,0.408 ,0.775 ,0.558 ,0.600 ,0.550 ,0.442 ,0.592 ,0.417 ,0.517 ,0.508 ,0.483 ,0.492 ,0.567 
"Image_Classification,CWE,25_758","(0.0, 0.0)","(0.5987511456012726, 0.9893154501914978)","(0.527890844643116, 0.9436632752418518)","(0.5346901059150696, 0.9054579079151154)","(0.5749306082725525, 0.871184092760086)","(0.5936632722616195, 0.9296022236347199)","(0.4549491196870804, 0.7017576336860657)","(0.5339962929487229, 0.6892229408025742)","(0.5850601196289062, 0.605087885260582)","(0.5340425491333007, 0.6216003656387329)","(0.49759481847286224, 0.4870952844619751)","(0.5359851956367493, 0.5765957474708557)",,,0.000 ,0.000 ,0.599 ,0.989 ,0.528 ,0.944 ,0.535 ,0.905 ,0.575 ,0.871 ,0.594 ,0.930 ,0.455 ,0.702 ,0.534 ,0.689 ,0.585 ,0.605 ,0.534 ,0.622 ,0.498 ,0.487 ,0.536 ,0.577 
"Image_Classification,CWE,25_761","(0.0, 0.0)","(0.4816883146762848, 0.9655519545078277)","(0.4867207854986191, 0.8168181836605072)","(0.5131818264722824, 0.8120454579591752)","(0.5143181920051575, 0.8225000143051148)","(0.5777922064065933, 0.7138961046934128)","(0.473181813955307, 0.7931168794631958)","(0.5362986952066422, 0.6738311737775803)","(0.4401623398065567, 0.5482792228460311)","(0.48724026381969454, 0.5945129752159118)","(0.41000000238418577, 0.46357143223285674)","(0.45675324499607084, 0.5888311713933945)",,,0.000 ,0.000 ,0.482 ,0.966 ,0.487 ,0.817 ,0.513 ,0.812 ,0.514 ,0.823 ,0.578 ,0.714 ,0.473 ,0.793 ,0.536 ,0.674 ,0.440 ,0.548 ,0.487 ,0.595 ,0.410 ,0.464 ,0.457 ,0.589 
"Image_Classification,CWE,25_78","(0.0, 0.0)","(0.5427975744009018, 0.9970802962779999)","(0.5595575451850892, 0.9975680947303772)","(0.5651566028594971, 0.9975692749023437)","(0.560263279080391, 0.9980547070503235)","(0.5359872937202453, 0.996597820520401)","(0.5620313972234726, 0.9931938469409942)","(0.4744856208562851, 0.9922217965126038)","(0.5255185127258301, 0.9895459830760955)","(0.4861869066953659, 0.9249202728271484)","(0.4620662331581116, 0.7683290898799896)","(0.48008586168289186, 0.5328479051589966)",,,0.000 ,0.000 ,0.543 ,0.997 ,0.560 ,0.998 ,0.565 ,0.998 ,0.560 ,0.998 ,0.536 ,0.997 ,0.562 ,0.993 ,0.474 ,0.992 ,0.526 ,0.990 ,0.486 ,0.925 ,0.462 ,0.768 ,0.480 ,0.533 
"Image_Classification,CWE,25_789","(0.0, 0.0)","(0.5124324351549149, 0.9838198244571685)","(0.5294774830341339, 0.9719099164009094)","(0.5192792803049088, 0.9918918967247009)","(0.5659098982810974, 0.8919459581375122)","(0.5147567570209504, 0.8683783859014511)","(0.6097297221422195, 0.7394594550132751)","(0.47971171438694, 0.6666126102209091)","(0.4363423362374306, 0.6135855883359909)","(0.449387389421463, 0.5243963956832886)","(0.5968828827142716, 0.509387394785881)","(0.4769189178943634, 0.5150270283222198)",,,0.000 ,0.000 ,0.512 ,0.984 ,0.529 ,0.972 ,0.519 ,0.992 ,0.566 ,0.892 ,0.515 ,0.868 ,0.610 ,0.739 ,0.480 ,0.667 ,0.436 ,0.614 ,0.449 ,0.524 ,0.597 ,0.509 ,0.477 ,0.515 
"Image_Classification,CWE,26_127","(0.0, 0.0)","(0.48035714104771615, 0.9767857134342194)","(0.5321428552269936, 0.9410714209079742)","(0.7196428567171097, 0.9553571462631225)","(0.5625000029802323, 0.9571428596973419)","(0.5517857126891613, 0.8321428626775742)","(0.5821428596973419, 0.9232142865657806)","(0.5196428529918193, 0.9660714328289032)","(0.5946428537368774, 0.8160714328289032)","(0.6071428626775741, 0.9196428596973419)","(0.5196428626775742, 0.875)","(0.6285714372992516, 0.7839285671710968)",,,0.000 ,0.000 ,0.480 ,0.977 ,0.532 ,0.941 ,0.720 ,0.955 ,0.563 ,0.957 ,0.552 ,0.832 ,0.582 ,0.923 ,0.520 ,0.966 ,0.595 ,0.816 ,0.607 ,0.920 ,0.520 ,#VALUE!,0.629 ,0.784 
"Image_Classification,CWE,26_190","(0.0, 0.0)","(0.7466666758060455, 0.9800000011920929)","(0.4200000077486038, 0.9533333361148835)","(0.4666666775941849, 0.9533333361148835)","(0.6666666775941849, 0.9000000059604645)","(0.5266666755080223, 0.9866666674613953)","(0.5400000080466271, 0.9400000035762787)","(0.4800000101327896, 0.7533333420753479)","(0.4066666796803474, 0.733333346247673)","(0.4933333404362202, 0.8866666734218598)","(0.6533333450555802, 0.7333333432674408)","(0.4800000131130219, 0.5800000131130219)",,,0.000 ,0.000 ,0.747 ,0.980 ,0.420 ,0.953 ,0.467 ,0.953 ,0.667 ,0.900 ,0.527 ,0.987 ,0.540 ,0.940 ,0.480 ,0.753 ,0.407 ,0.733 ,0.493 ,0.887 ,0.653 ,0.733 ,0.480 ,0.580 
"Image_Classification,CWE,26_78","(0.0, 0.0)","(0.8094813704490662, 0.9968393564224243)","(0.7865872919559479, 0.9936846017837524)","(0.7399735480546952, 0.9931968033313752)","(0.7848510622978211, 0.9895483434200287)","(0.7326116681098938, 0.989544802904129)","(0.6133111238479614, 0.9727765619754791)","(0.7180456161499024, 0.9552712917327881)","(0.6443283021450043, 0.9241714477539062)","(0.6042425513267518, 0.8876750946044922)","(0.5332459226250649, 0.7583433747291565)","(0.6087862968444824, 0.7839008450508118)",,,0.000 ,0.000 ,0.809 ,0.997 ,0.787 ,0.994 ,0.740 ,0.993 ,0.785 ,0.990 ,0.733 ,0.990 ,0.613 ,0.973 ,0.718 ,0.955 ,0.644 ,0.924 ,0.604 ,0.888 ,0.533 ,0.758 ,0.609 ,0.784 
"Image_Classification,CWE,28_121","(0.0, 0.0)","(0.994493281841278, 0.9922954797744751)","(0.994493281841278, 0.9746031701564789)","(0.9955921828746795, 0.9933821737766266)","(0.9900610446929932, 0.9933699607849121)","(0.9889621496200561, 0.9878876626491546)","(0.9878510296344757, 0.9911599457263947)","(0.963626366853714, 0.917948716878891)","(0.9502564072608948, 0.7988278448581696)","(0.9062393128871917, 0.5873870611190796)","(0.5036874294281006, 0.5308180838823319)","(0.5453113645315171, 0.5144444584846497)",,,0.000 ,0.000 ,0.994 ,0.992 ,0.994 ,0.975 ,0.996 ,0.993 ,0.990 ,0.993 ,0.989 ,0.988 ,0.988 ,0.991 ,0.964 ,0.918 ,0.950 ,0.799 ,0.906 ,0.587 ,0.504 ,0.531 ,0.545 ,0.514 
"Image_Classification,CWE,28_124","(0.0, 0.0)","(0.9964285731315613, 0.9910714328289032)","(0.9946428596973419, 0.9892857193946838)","(0.9928571462631226, 0.9875000059604645)","(0.9946428596973419, 0.9892857193946838)","(0.9946428596973419, 0.9875000059604645)","(0.9732142984867096, 0.8535714387893677)","(0.8892857223749161, 0.7607142895460128)","(0.7624999940395355, 0.575)","(0.7303571432828904, 0.5089285790920257)","(0.6517857134342193, 0.5392857074737549)","(0.7107142835855484, 0.4892857164144516)",,,0.000 ,0.000 ,0.996 ,0.991 ,0.995 ,0.989 ,0.993 ,0.988 ,0.995 ,0.989 ,0.995 ,0.988 ,0.973 ,0.854 ,0.889 ,0.761 ,0.762 ,#VALUE!,0.730 ,0.509 ,0.652 ,0.539 ,0.711 ,0.489 
"Image_Classification,CWE,28_126","(0.0, 0.0)","(0.982174688577652, 0.9909982204437255)","(0.9673796772956849, 0.8365418881177902)","(0.964349377155304, 0.839037436246872)","(0.9673796772956849, 0.7491978585720063)","(0.7958110451698304, 0.7292335122823715)","(0.9226381421089173, 0.6700534820556641)","(0.7780748665332794, 0.5725490272045135)","(0.8566844940185547, 0.5154189050197602)","(0.6836007177829743, 0.5178253173828125)","(0.7322638154029846, 0.6240641713142395)","(0.6266488522291184, 0.5461675643920898)",,,0.000 ,0.000 ,0.982 ,0.991 ,0.967 ,0.837 ,0.964 ,0.839 ,0.967 ,0.749 ,0.796 ,0.729 ,0.923 ,0.670 ,0.778 ,0.573 ,0.857 ,0.515 ,0.684 ,0.518 ,0.732 ,0.624 ,0.627 ,0.546 
"Image_Classification,CWE,28_127","(0.0, 0.0)","(0.9857142925262451, 0.9910714328289032)","(0.9875000059604645, 0.9821428656578064)","(0.9821428656578064, 0.980357152223587)","(0.9821428656578064, 0.9410714387893677)","(0.9732142925262451, 0.9357142984867096)","(0.9089285731315613, 0.8339285850524902)","(0.9482142925262451, 0.7375000089406967)","(0.7874999940395355, 0.521428570151329)","(0.7107142955064774, 0.5767857104539871)","(0.6642857193946838, 0.5892857193946839)","(0.6964285671710968, 0.483928582072258)",,,0.000 ,0.000 ,0.986 ,0.991 ,0.988 ,0.982 ,0.982 ,0.980 ,0.982 ,0.941 ,0.973 ,0.936 ,0.909 ,0.834 ,0.948 ,0.738 ,0.787 ,0.521 ,0.711 ,0.577 ,0.664 ,0.589 ,0.696 ,0.484 
"Image_Classification,CWE,28_134","(0.0, 0.0)","(0.9783783793449402, 0.8837837815284729)","(0.9783783793449402, 0.7324324369430542)","(0.972972971200943, 0.7405405402183532)","(0.8054053962230683, 0.6189189165830612)","(0.783783781528473, 0.6594594538211822)","(0.7351351201534271, 0.6135135173797608)","(0.7108108043670655, 0.6378378391265869)","(0.7162162065505981, 0.5135135114192962)","(0.6135135114192962, 0.5540540516376495)","(0.5783783733844757, 0.5216216236352921)","(0.572972971200943, 0.5486486434936524)",,,0.000 ,0.000 ,0.978 ,0.884 ,0.978 ,0.732 ,0.973 ,0.741 ,0.805 ,0.619 ,0.784 ,0.659 ,0.735 ,0.614 ,0.711 ,0.638 ,0.716 ,0.514 ,0.614 ,0.554 ,0.578 ,0.522 ,0.573 ,0.549 
"Image_Classification,CWE,28_190","(0.0, 0.0)","(0.9333333373069763, 0.6933333426713943)","(0.8866666734218598, 0.853333342075348)","(0.946666669845581, 0.6733333438634872)","(0.9600000023841858, 0.8200000047683715)","(0.9133333384990692, 0.4533333510160446)","(0.7933333426713943, 0.44666667878627775)","(0.8266666740179062, 0.5200000107288361)","(0.8200000107288361, 0.4866666793823242)","(0.8200000077486038, 0.5533333480358124)","(0.626666682958603, 0.5200000122189522)","(0.5733333498239517, 0.5333333492279053)",,,0.000 ,0.000 ,0.933 ,0.693 ,0.887 ,0.853 ,0.947 ,0.673 ,0.960 ,0.820 ,0.913 ,0.453 ,0.793 ,0.447 ,0.827 ,0.520 ,0.820 ,0.487 ,0.820 ,0.553 ,0.627 ,0.520 ,0.573 ,0.533 
"Image_Classification,CWE,28_476","(0.0, 0.0)","(0.9144444406032562, 0.6155555605888366)","(0.8844444453716278, 0.5133333414793014)","(0.904444444179535, 0.5400000065565109)","(0.8666666626930237, 0.5100000083446503)","(0.752222228050232, 0.47333334386348724)","(0.6833333373069763, 0.5244444563984871)","(0.7688888937234879, 0.47555555775761604)","(0.6866666682064533, 0.6588888943195343)","(0.7155555605888366, 0.6400000050663948)","(0.6844444498419762, 0.5744444563984871)","(0.5533333450555802, 0.5177777782082558)",,,0.000 ,0.000 ,0.914 ,0.616 ,0.884 ,0.513 ,0.904 ,0.540 ,0.867 ,0.510 ,0.752 ,0.473 ,0.683 ,0.524 ,0.769 ,0.476 ,0.687 ,0.659 ,0.716 ,0.640 ,0.684 ,0.574 ,0.553 ,0.518 
"Image_Classification,CWE,28_479","(0.0, 0.0)","(0.3916666716337204, 0.5333333373069763)","(0.4083333373069763, 0.4916666686534882)","(0.4166666716337204, 0.5333333373069763)","(0.40000000298023225, 0.6000000029802323)","(0.4000000059604645, 0.4083333373069763)","(0.4250000059604645, 0.5583333373069763)","(0.37500000596046446, 0.5500000029802322)","(0.3583333373069763, 0.5916666716337204)","(0.5916666716337204, 0.5166666716337204)","(0.44166666865348814, 0.4833333343267441)","(0.7166666716337204, 0.5666666686534881)",,,0.000 ,0.000 ,0.392 ,0.533 ,0.408 ,0.492 ,0.417 ,0.533 ,0.400 ,0.600 ,0.400 ,0.408 ,0.425 ,0.558 ,0.375 ,0.550 ,0.358 ,0.592 ,0.592 ,0.517 ,0.442 ,0.483 ,0.717 ,0.567 
"Image_Classification,CWE,28_680","(0.0, 0.0)","(0.7545566499233246, 0.9931034445762634)","(0.6895320177078247, 0.8586206912994385)","(0.9615763545036315, 0.9411330044269561)","(0.8817733883857727, 0.8964285731315613)","(0.6806650221347809, 0.6908866912126541)","(0.8784482777118683, 0.6172413766384125)","(0.8426108330488205, 0.6706896513700485)","(0.5645320221781731, 0.531280791759491)","(0.5045566484332085, 0.5513546854257584)","(0.5062807932496071, 0.6109605967998505)","(0.5490147694945335, 0.4818965494632721)",,,0.000 ,0.000 ,0.755 ,0.993 ,0.690 ,0.859 ,0.962 ,0.941 ,0.882 ,0.896 ,0.681 ,0.691 ,0.878 ,0.617 ,0.843 ,0.671 ,0.565 ,0.531 ,0.505 ,0.551 ,0.506 ,0.611 ,0.549 ,0.482 
"Image_Classification,CWE,28_758","(0.0, 0.0)","(0.9680851101875305, 0.9893154501914978)","(0.9679926037788391, 0.9436632752418518)","(0.9552266478538514, 0.9054579079151154)","(0.9551803946495057, 0.871184092760086)","(0.9485198974609375, 0.9296022236347199)","(0.9423219323158264, 0.7017576336860657)","(0.937881600856781, 0.6892229408025742)","(0.899537467956543, 0.605087885260582)","(0.6388066649436951, 0.6216003656387329)","(0.5981498599052429, 0.4870952844619751)","(0.6516651272773742, 0.5765957474708557)",,,0.000 ,0.000 ,0.968 ,0.989 ,0.968 ,0.944 ,0.955 ,0.905 ,0.955 ,0.871 ,0.949 ,0.930 ,0.942 ,0.702 ,0.938 ,0.689 ,0.900 ,0.605 ,0.639 ,0.622 ,0.598 ,0.487 ,0.652 ,0.577 
"Image_Classification,CWE,28_761","(0.0, 0.0)","(0.985454547405243, 0.9655519545078277)","(0.9854545414447784, 0.8168181836605072)","(0.9872727274894715, 0.8120454579591752)","(0.9746428668498993, 0.8225000143051148)","(0.74561687707901, 0.7138961046934128)","(0.8877922058105469, 0.7931168794631958)","(0.8257467448711395, 0.6738311737775803)","(0.7880844235420227, 0.5482792228460311)","(0.5707792311906814, 0.5945129752159118)","(0.5970454603433609, 0.46357143223285674)","(0.5940584391355515, 0.5888311713933945)",,,0.000 ,0.000 ,0.985 ,0.966 ,0.985 ,0.817 ,0.987 ,0.812 ,0.975 ,0.823 ,0.746 ,0.714 ,0.888 ,0.793 ,0.826 ,0.674 ,0.788 ,0.548 ,0.571 ,0.595 ,0.597 ,0.464 ,0.594 ,0.589 
"Image_Classification,CWE,28_78","(0.0, 0.0)","(0.9997566938400269, 0.9970802962779999)","(0.9992700815200806, 0.9975680947303772)","(0.9980547189712524, 0.9975692749023437)","(0.9980547189712524, 0.9980547070503235)","(0.9985407412052154, 0.996597820520401)","(0.9958673000335694, 0.9931938469409942)","(0.9966001868247986, 0.9922217965126038)","(0.9924639344215394, 0.9895459830760955)","(0.9778783798217774, 0.9249202728271484)","(0.8745476424694061, 0.7683290898799896)","(0.5985643535852432, 0.5328479051589966)",,,0.000 ,0.000 ,1.000 ,0.997 ,0.999 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.999 ,0.997 ,0.996 ,0.993 ,0.997 ,0.992 ,0.992 ,0.990 ,0.978 ,0.925 ,0.875 ,0.768 ,0.599 ,0.533 
"Image_Classification,CWE,28_789","(0.0, 0.0)","(0.9919099152088166, 0.9838198244571685)","(0.9919459521770477, 0.9719099164009094)","(0.990576583147049, 0.9918918967247009)","(0.989261269569397, 0.8919459581375122)","(0.9852072119712829, 0.8683783859014511)","(0.9839279294013977, 0.7394594550132751)","(0.9704324424266815, 0.6666126102209091)","(0.8814234137535095, 0.6135855883359909)","(0.7106666684150695, 0.5243963956832886)","(0.6328828871250153, 0.509387394785881)","(0.6505045115947723, 0.5150270283222198)",,,0.000 ,0.000 ,0.992 ,0.984 ,0.992 ,0.972 ,0.991 ,0.992 ,0.989 ,0.892 ,0.985 ,0.868 ,0.984 ,0.739 ,0.970 ,0.667 ,0.881 ,0.614 ,0.711 ,0.524 ,0.633 ,0.509 ,0.651 ,0.515 
"Image_Classification,CWE,29_127","(0.0, 0.0)","(0.9624999940395356, 0.9767857134342194)","(0.9589285790920258, 0.9410714209079742)","(0.95, 0.9553571462631225)","(0.9500000059604645, 0.9571428596973419)","(0.9107142686843872, 0.8321428626775742)","(0.9142857193946838, 0.9232142865657806)","(0.8982142806053162, 0.9660714328289032)","(0.9071428537368774, 0.8160714328289032)","(0.9124999880790711, 0.9196428596973419)","(0.899999988079071, 0.875)","(0.8142857164144516, 0.7839285671710968)",,,0.000 ,0.000 ,0.962 ,0.977 ,0.959 ,0.941 ,0.950 ,0.955 ,0.950 ,0.957 ,0.911 ,0.832 ,0.914 ,0.923 ,0.898 ,0.966 ,0.907 ,0.816 ,0.912 ,0.920 ,0.900 ,#VALUE!,0.814 ,0.784 
"Image_Classification,CWE,29_190","(0.0, 0.0)","(0.9866666674613953, 0.9800000011920929)","(0.9866666674613953, 0.9533333361148835)","(0.9866666674613953, 0.9533333361148835)","(0.9866666674613953, 0.9000000059604645)","(0.9800000011920929, 0.9866666674613953)","(0.9666666686534882, 0.9400000035762787)","(0.9533333361148835, 0.7533333420753479)","(0.926666671037674, 0.733333346247673)","(0.9200000047683716, 0.8866666734218598)","(0.9333333373069763, 0.7333333432674408)","(0.6400000125169754, 0.5800000131130219)",,,0.000 ,0.000 ,0.987 ,0.980 ,0.987 ,0.953 ,0.987 ,0.953 ,0.987 ,0.900 ,0.980 ,0.987 ,0.967 ,0.940 ,0.953 ,0.753 ,0.927 ,0.733 ,0.920 ,0.887 ,0.933 ,0.733 ,0.640 ,0.580 
"Image_Classification,CWE,29_78","(0.0, 0.0)","(0.9929511308670044, 0.9968393564224243)","(0.9914912819862366, 0.9936846017837524)","(0.9890599548816681, 0.9931968033313752)","(0.9883371233940125, 0.9895483434200287)","(0.988578063249588, 0.989544802904129)","(0.9856589436531067, 0.9727765619754791)","(0.9795821189880372, 0.9552712917327881)","(0.9701084315776825, 0.9241714477539062)","(0.9511480331420898, 0.8876750946044922)","(0.9270746171474457, 0.7583433747291565)","(0.9307254374027252, 0.7839008450508118)",,,0.000 ,0.000 ,0.993 ,0.997 ,0.991 ,0.994 ,0.989 ,0.993 ,0.988 ,0.990 ,0.989 ,0.990 ,0.986 ,0.973 ,0.980 ,0.955 ,0.970 ,0.924 ,0.951 ,0.888 ,0.927 ,0.758 ,0.931 ,0.784 
"Image_Classification,CWE,31_121","(0.0, 0.0)","(0.9923076927661896, 0.9922954797744751)","(0.9889255106449127, 0.9746031701564789)","(0.9834432184696198, 0.9933821737766266)","(0.9680708110332489, 0.9933699607849121)","(0.9746031761169434, 0.9878876626491546)","(0.9547741174697876, 0.9911599457263947)","(0.9559218525886536, 0.917948716878891)","(0.9051892578601837, 0.7988278448581696)","(0.874481076002121, 0.5873870611190796)","(0.6497191816568375, 0.5308180838823319)","(0.6016361534595489, 0.5144444584846497)",,,0.000 ,0.000 ,0.992 ,0.992 ,0.989 ,0.975 ,0.983 ,0.993 ,0.968 ,0.993 ,0.975 ,0.988 ,0.955 ,0.991 ,0.956 ,0.918 ,0.905 ,0.799 ,0.874 ,0.587 ,0.650 ,0.531 ,0.602 ,0.514 
"Image_Classification,CWE,31_124","(0.0, 0.0)","(0.9750000059604644, 0.9910714328289032)","(0.9767857253551483, 0.9892857193946838)","(0.9732142925262451, 0.9875000059604645)","(0.9696428716182709, 0.9892857193946838)","(0.9500000059604645, 0.9875000059604645)","(0.9375000059604645, 0.8535714387893677)","(0.9107142806053161, 0.7607142895460128)","(0.7857142806053161, 0.575)","(0.6303571492433548, 0.5089285790920257)","(0.5571428596973419, 0.5392857074737549)","(0.5035714358091354, 0.4892857164144516)",,,0.000 ,0.000 ,0.975 ,0.991 ,0.977 ,0.989 ,0.973 ,0.988 ,0.970 ,0.989 ,0.950 ,0.988 ,0.938 ,0.854 ,0.911 ,0.761 ,0.786 ,#VALUE!,0.630 ,0.509 ,0.557 ,0.539 ,0.504 ,0.489 
"Image_Classification,CWE,31_126","(0.0, 0.0)","(0.9194295883178711, 0.9909982204437255)","(0.9496434926986694, 0.8365418881177902)","(0.9524064183235168, 0.839037436246872)","(0.8951871633529663, 0.7491978585720063)","(0.8636363625526429, 0.7292335122823715)","(0.9106951832771302, 0.6700534820556641)","(0.7297682762145996, 0.5725490272045135)","(0.7678253203630447, 0.5154189050197602)","(0.5980392247438431, 0.5178253173828125)","(0.6239750564098359, 0.6240641713142395)","(0.6905525863170624, 0.5461675643920898)",,,0.000 ,0.000 ,0.919 ,0.991 ,0.950 ,0.837 ,0.952 ,0.839 ,0.895 ,0.749 ,0.864 ,0.729 ,0.911 ,0.670 ,0.730 ,0.573 ,0.768 ,0.515 ,0.598 ,0.518 ,0.624 ,0.624 ,0.691 ,0.546 
"Image_Classification,CWE,31_127","(0.0, 0.0)","(0.9714285731315613, 0.9910714328289032)","(0.9678571462631226, 0.9821428656578064)","(0.9660714328289032, 0.980357152223587)","(0.9732142925262451, 0.9410714387893677)","(0.9446428656578064, 0.9357142984867096)","(0.9142857074737549, 0.8339285850524902)","(0.8749999940395355, 0.7375000089406967)","(0.6946428567171097, 0.521428570151329)","(0.617857140302658, 0.5767857104539871)","(0.6589285671710968, 0.5892857193946839)","(0.6392857134342194, 0.483928582072258)",,,0.000 ,0.000 ,0.971 ,0.991 ,0.968 ,0.982 ,0.966 ,0.980 ,0.973 ,0.941 ,0.945 ,0.936 ,0.914 ,0.834 ,0.875 ,0.738 ,0.695 ,0.521 ,0.618 ,0.577 ,0.659 ,0.589 ,0.639 ,0.484 
